timestamp,latitude,longitude,altitude,status,covariance_type,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8
1769896040383196628,43.66093241666667,-79.39500986666667,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896041375840569,43.66093241666667,-79.39500986666667,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896042380809253,43.66093241666667,-79.39500986666667,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896043377090364,43.66093241666667,-79.39500986666667,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896044384589393,43.66093241666667,-79.39500986666667,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896045381115089,43.66093241666667,-79.39500986666667,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896046377525488,43.66093241666667,-79.39500986666667,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896047395102150,43.66093241666667,-79.39500986666667,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896048386130148,43.66093241666667,-79.39500986666667,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896049377143880,43.66093241666667,-79.39500986666667,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896050380484078,43.66093241666667,-79.39500986666667,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896051389601516,43.66093241666667,-79.39500986666667,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896052402205464,43.66093241666667,-79.39500986666667,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896053401455220,43.66093241666667,-79.39500986666667,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896054407601011,43.66093241666667,-79.39500986666667,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896055399208476,43.66093241666667,-79.39500986666667,73.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
